Company,Position
HSBC,Pasante en Mesa de Dinero
Banco Galicia,Analista
IMEPHO materiales de construccion ,President
(PROTASAN) Procesadora de tabaco artesanal de santander,Comerciante
Vicentin SAIC,RRHH Selectora - Analista Corporativo
Varias entidades,martilleros matriculados
Tienda Nube,pendiente
PepsiCo,Coordinador administrativo de +Vida
Real Planning,Director de Real Planning S.A
Accenture,Client Financial Management Specialist
DeepData,Founder
Axonier Consultores,Consultor de procesos
FADENA/UNDEF,Profesora/investigadora de Economía aplicada a la Defensa - Maestría en Defensa Nacional
JLT Group,Operational Analyst Retail
Ministerio de Producción y Trabajo de la Nación,Analista de gestión
Centro de Estudios Economicos y Sociales Scalabrini Ortiz, CESO,Investigador superior
NetSuite,Founder and EVP of Oracle NetSuite
NetSuite,Product Manager
Universidad de Buenos Aires,Asistente de investigación
Maritime, Port & IT Global Consulting and Business Solutions Limited,Entrepreneur
Amazon,Author
Confidential,Owner / Consultant - Staffing/Recruiting
National Nederlanden - www.nnespana.es,Ejecutivo comercial
Universidad Nacional de Misiones,Congreso Latinoamericano de administración
Imarketslive,Operador de mercado cambiario
Oracle,NetSuite PS Country Leader Argentina
Looking for a new Challenge,Business Intelligent Manager and Data Management Bilingual
INDEC Argentina,Analysis of data and investigation in the Directorate of the Permanent Household Survey (EPH)
Editorial Río Negro S.A.,Pasante
Pampa Marketing,CEO 
IT Convergence,B2B Sales
Fondo de Crédito Misiones,Oficial de Crédito
Fares Taie Biotecnología,Desarrollo de Negocio
Banco Macro,Ejecutivo de clientes
Observatorio Nacional Ciudadano,Data Scientist / Researcher
Grupo Randazzo,administrativa
NetSuite,GM of NetSuite Uruguay, and Senior Director of Ecommerce, NetSuite
Arisol Consultores,Consultor en administración presupuestaria-financiera y análisis de información del Sector Píublico
Ecolatina,Economista
NetSuite,Technical Consultant
Telefónica,Big Data Analyst - Big Data & Advanced Analytics
Accenture Argentina,Client Financial Mgmt Analyst
Capital Markets Argentina Soc.Bolsa S.A.,Operador bursátil
EY,Tax analyst
Topic Marketing & Publicidad,Director creativo / Co-Fundador.
CNRT,Economista
University of Birmingham,Global Challenges Scholar
Asociacion Argentina de Ayuda a la Infancia La Casa de Ronald McDonald,Responsable de Administración y Contabilidad 
Alimentaris Foundation,Project Analyst
Juguetes del Puerto Ltda.,Presidente
IAFPRPM - Ministerio de Defensa,Auxiliar Administrativo
Europastry,Business Controller
World Bank Group,Research Assistant
HOLDING FORTUNA     ,Gestión de Ventas: FORTUNA INVERSIONES
Oracle Corporation,Vice President of Human Resources, Latin America 
Federación Argentina de Entidades Empresarias del Autotransporte de Cargas,Analista del Departamento de Estudios Económicos y Costos
PYMNTS,Senior Data Analyst
Facultad de Ciencias Económicas UNLP,Auditora externa
Ministerio de Desarrollo Productivo de la Nación,Ministro
Trenes Argentinos Operaciones,Analista de Planificación, Control de Gestión y Reporting
Econviews,Senior Economist - Economista Senior
Organización de Estados Iberoamericanos -OEI-,Gestor de Administración de Proyectos
Mercado Abierto Electrónico S.A.,Analista de Control de Gestión, Gerencia de Administración y Finanzas
Invecq Consulting SA,Director
Universidad Nacional de La Plata,Macroeconomics I 
Accenture,Head of Economic and Data Science Research, Accenture Research
BTG Pactual,Macro economic research
Banco Supervielle,Analista de Stress Test y Proyecciones
Ministerio de Hacienda,Asesor
Eco Go Consultores,Analista económico
UCL School of Management,Student Ambassador
  CF&P   ,Economist
Contador Independiente,Contador Público independiente 
Oracle,Customer experience consultant
Accenture,Analista de contabilidad
Global Hitss,Data Scientist
LVM Editora,Editor Responsável
Fundación Frontera Económica ,Analista de datos
Gobierno de la Ciudad de Buenos Aires,Analista de datos
Etermax,Business Intelligence Manager
InvGate,Business Development Management
Universidad Nacional de La Plata,Ayudante adscripto de la cátedra de Matemática I
Caixa Econômica Federal,Técnico Bancário
