"","Company","Position"
"220","Accenture","Client Financial Management Specialist"
"221","DeepData","Founder"
"222","Axonier Consultores","Consultor de procesos"
"223","FADENA/UNDEF","Profesora/investigadora de Economía aplicada a la Defensa - Maestría en Defensa Nacional"
"224","JLT Group","Operational Analyst Retail"
"225","Ministerio de Producción y Trabajo de la Nación","Analista de gestión"
"226","Centro de Estudios Economicos y Sociales Scalabrini Ortiz, CESO","Investigador superior"
"227","NetSuite","Founder and EVP of Oracle NetSuite"
"228","NetSuite","Product Manager"
"229","Universidad de Buenos Aires","Asistente de investigación"
"230","Maritime, Port & IT Global Consulting and Business Solutions Limited","Entrepreneur"
"231","Amazon","Author"
"232","Confidential","Owner / Consultant - Staffing/Recruiting"
"233","National Nederlanden - www.nnespana.es","Ejecutivo comercial"
"234","Universidad Nacional de Misiones","Congreso Latinoamericano de administración"
"235","Imarketslive","Operador de mercado cambiario"
"236","Oracle","NetSuite PS Country Leader Argentina"
"237","Looking for a new Challenge","Business Intelligent Manager and Data Management Bilingual"
"238","INDEC Argentina","Analysis of data and investigation in the Directorate of the Permanent Household Survey (EPH)"
"239","Editorial Río Negro S.A.","Pasante"
"240","",""
"241","Pampa Marketing","CEO "
"242","IT Convergence","B2B Sales"
"243","Fondo de Crédito Misiones","Oficial de Crédito"
"244","Fares Taie Biotecnología","Desarrollo de Negocio"
"245","Banco Macro","Ejecutivo de clientes"
"246","Observatorio Nacional Ciudadano","Data Scientist / Researcher"
"247","Grupo Randazzo","administrativa"
"248","NetSuite","GM of NetSuite Uruguay, and Senior Director of Ecommerce, NetSuite"
"249","Arisol Consultores","Consultor en administración presupuestaria-financiera y análisis de información del Sector Píublico"
"250","Ecolatina","Economista"
"251","NetSuite","Technical Consultant"
"252","Telefónica","Big Data Analyst - Big Data & Advanced Analytics"
"253","Accenture Argentina","Client Financial Mgmt Analyst"
"254","Capital Markets Argentina Soc.Bolsa S.A.","Operador bursátil"
"255","EY","Tax analyst"
"256","Topic Marketing & Publicidad","Director creativo / Co-Fundador."
"257","CNRT","Economista"
"258","University of Birmingham","Global Challenges Scholar"
"259","Asociacion Argentina de Ayuda a la Infancia La Casa de Ronald McDonald","Responsable de Administración y Contabilidad "
"260","",""
"261","Alimentaris Foundation","Project Analyst"
"262","Juguetes del Puerto Ltda.","Presidente"
"263","IAFPRPM - Ministerio de Defensa","Auxiliar Administrativo"
"264","Europastry","Business Controller"
"265","World Bank Group","Research Assistant"
"266","HOLDING FORTUNA     ","Gestión de Ventas: FORTUNA INVERSIONES"
"267","Oracle Corporation","Vice President of Human Resources, Latin America "
"268","Federación Argentina de Entidades Empresarias del Autotransporte de Cargas","Analista del Departamento de Estudios Económicos y Costos"
"269","PYMNTS","Senior Data Analyst"
"270","Facultad de Ciencias Económicas UNLP","Auditora externa"
"271","Ministerio de Desarrollo Productivo de la Nación","Ministro"
"272","Trenes Argentinos Operaciones","Analista de Planificación, Control de Gestión y Reporting"
"273","Econviews","Senior Economist - Economista Senior"
"274","Organización de Estados Iberoamericanos -OEI-","Gestor de Administración de Proyectos"
"275","Mercado Abierto Electrónico S.A.","Analista de Control de Gestión, Gerencia de Administración y Finanzas"
"276","Invecq Consulting SA","Director"
"277","Universidad Nacional de La Plata","Macroeconomics I "
"278","Accenture","Head of Economic and Data Science Research, Accenture Research"
"279","BTG Pactual","Macro economic research"
"280","Banco Supervielle","Analista de Stress Test y Proyecciones"
"281","Ministerio de Hacienda","Asesor"
"282","Eco Go Consultores","Analista económico"
